,Year,Month,Departure station,Arrival station,Average travel time (min)
267,2016,4.0,PARIS EST,REIMS,47.288557213900006
268,2016,4.0,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.67091836729999
269,2016,6.0,PARIS EST,METZ,85.142578125
270,2016,6.0,ANNECY,PARIS LYON,226.052845528
271,2016,6.0,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.4846153846
272,2016,6.0,PARIS MONTPARNASSE,NANTES,140.19791666700002
273,2016,6.0,PARIS MONTPARNASSE,TOURS,77.9441340782
274,2016,2.0,CHAMBERY CHALLES LES EAUX,PARIS LYON,183.597046414
275,2016,2.0,STUTTGART,PARIS EST,150.772727273
276,2017,4.0,PARIS EST,METZ,85.1789473684
277,2017,4.0,MULHOUSE VILLE,PARIS LYON,171.72260274
278,2017,4.0,NICE VILLE,PARIS LYON,344.730769231
279,2017,4.0,PARIS MONTPARNASSE,NANTES,139.260521042
280,2017,4.0,PARIS MONTPARNASSE,ST MALO,187.152173913
281,2016,9.0,PARIS LYON,MARSEILLE ST CHARLES,197.78030303
282,2016,9.0,PARIS NORD,DOUAI,66.0196078431
283,2016,9.0,ITALIE,PARIS LYON,260.707865169
284,2016,11.0,NANCY,PARIS EST,93.2978723404
285,2016,11.0,PARIS LYON,BESANCON FRANCHE COMTE TGV,128.728494624
286,2016,11.0,ANGERS SAINT LAUD,PARIS MONTPARNASSE,102.708803612
287,2016,11.0,PARIS MONTPARNASSE,ANGOULEME,161.328025478
288,2016,11.0,PARIS MONTPARNASSE,BREST,270.975555556
289,2016,11.0,LILLE,MARSEILLE ST CHARLES,298.216748768
290,2017,11.0,PARIS MONTPARNASSE,LA ROCHELLE VILLE,166.733944954
291,2017,11.0,RENNES,PARIS MONTPARNASSE,99.7763578275
292,2017,11.0,MARSEILLE ST CHARLES,LYON PART DIEU,100.876893939
293,2017,11.0,PARIS LYON,LAUSANNE,222.7675
294,2017,3.0,AIX EN PROVENCE TGV,PARIS LYON,188.121052632
295,2017,3.0,PARIS MONTPARNASSE,VANNES,197.74273858900003
296,2017,3.0,MARSEILLE ST CHARLES,LYON PART DIEU,104.877358491
297,2016,12.0,STRASBOURG,PARIS EST,113.380313199
298,2016,12.0,ANNECY,PARIS LYON,224.593406593
299,2016,12.0,PARIS MONTPARNASSE,POITIERS,105.56547619
300,2016,7.0,MARSEILLE ST CHARLES,PARIS LYON,197.639772727
301,2016,7.0,PARIS LYON,MULHOUSE VILLE,166.279513889
302,2016,7.0,PARIS MONTPARNASSE,ANGERS SAINT LAUD,100.670050761
303,2016,7.0,LYON PART DIEU,MARSEILLE ST CHARLES,101.909468439
304,2016,7.0,RENNES,LYON PART DIEU,261.28
305,2015,10.0,PARIS EST,REIMS,47.1830985915
306,2015,10.0,PARIS MONTPARNASSE,POITIERS,104.23046875
307,2015,10.0,PARIS LYON,LAUSANNE,179.148514851
308,2016,8.0,MONTPELLIER,LYON PART DIEU,110.325396825
309,2016,8.0,PARIS LYON,ITALIE,291.133333333
310,2017,8.0,PARIS LYON,BELLEGARDE (AIN),164.588888889
311,2017,8.0,PARIS LYON,NICE VILLE,340.978021978
312,2017,8.0,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.457627119
313,2017,8.0,VALENCE ALIXAN TGV,PARIS LYON,133.853896104
314,2017,8.0,PARIS MONTPARNASSE,BORDEAUX ST JEAN,146.757201646
315,2017,8.0,LA ROCHELLE VILLE,PARIS MONTPARNASSE,172.11739130400002
316,2017,8.0,PARIS MONTPARNASSE,ST PIERRE DES CORPS,60.98963730569999
317,2017,8.0,ITALIE,PARIS LYON,440.012820513
318,2016,10.0,LA ROCHELLE VILLE,PARIS MONTPARNASSE,207.336363636
